Format Version,1.21,Take Name,Take 2021-02-24 11.08.39 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-02-24 11.08.39 AM,Total Frames in Take,1337,Total Exported Frames,1337,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:104,Unlabeled:104,Unlabeled:104
,,"8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068"
,,Position,Position,Position
Frame,Time,X,Y,Z
134,1.116667,2.659809,0.785563,0.770060
135,1.125000,2.659817,0.785564,0.770057
136,1.133333,2.659814,0.785574,0.770054
137,1.141667,2.659824,0.785563,0.770049
138,1.150000,2.659817,0.785565,0.770053
139,1.158333,2.659823,0.785551,0.770055
140,1.166667,2.659819,0.785564,0.770050
141,1.175000,2.659822,0.785553,0.770051
142,1.183333,2.659806,0.785551,0.770056
143,1.191667,2.659828,0.785580,0.770069
144,1.200000,2.659819,0.785550,0.770044
145,1.208333,2.659849,0.785564,0.770058
146,1.216667,2.659821,0.785566,0.770055
147,1.225000,2.659823,0.785559,0.770056
148,1.233333,2.659814,0.785553,0.770051
149,1.241667,2.659808,0.785541,0.770049
150,1.250000,2.659825,0.785560,0.770051
151,1.258333,2.659808,0.785564,0.770057
152,1.266667,2.659813,0.785562,0.770053
153,1.275000,2.659809,0.785543,0.770042
154,1.283333,2.659806,0.785546,0.770047
155,1.291667,2.659803,0.785551,0.770044
156,1.300000,2.659811,0.785546,0.770050
157,1.308333,2.659820,0.785560,0.770049
158,1.316667,2.659810,0.785562,0.770053
159,1.325000,2.659822,0.785555,0.770053
160,1.333333,2.659804,0.785550,0.770052
161,1.341667,2.659821,0.785560,0.770048
162,1.350000,2.659809,0.785553,0.770051
163,1.358333,2.659815,0.785545,0.770048
164,1.366667,2.659823,0.785549,0.770056
165,1.375000,2.659819,0.785553,0.770038
166,1.383333,2.659833,0.785581,0.770056
167,1.391667,2.659830,0.785562,0.770053
168,1.400000,2.659823,0.785558,0.770050
169,1.408333,2.659815,0.785553,0.770048
170,1.416667,2.659823,0.785546,0.770040
171,1.425000,2.659821,0.785559,0.770053
172,1.433333,2.659810,0.785558,0.770051
173,1.441667,2.659813,0.785572,0.770057
174,1.450000,2.659817,0.785577,0.770058
175,1.458333,2.659807,0.785559,0.770045
176,1.466667,2.659807,0.785570,0.770049
177,1.475000,2.659813,0.785563,0.770053
178,1.483333,2.659813,0.785563,0.770052
179,1.491667,2.659813,0.785561,0.770047
180,1.500000,2.659810,0.785554,0.770038
181,1.508333,2.659826,0.785554,0.770042
182,1.516667,2.659831,0.785579,0.770054
183,1.525000,2.659818,0.785556,0.770049
184,1.533333,2.659810,0.785554,0.770050
185,1.541667,2.659842,0.785577,0.770046
186,1.550000,2.659839,0.785570,0.770052
187,1.558333,2.659828,0.785538,0.770044
188,1.566667,2.659824,0.785551,0.770041
189,1.575000,2.659850,0.785568,0.770057
190,1.583333,2.659817,0.785556,0.770051
191,1.591667,2.659831,0.785569,0.770052
192,1.600000,2.659817,0.785584,0.770052
193,1.608333,2.659824,0.785571,0.770059
194,1.616667,2.659813,0.785564,0.770046
195,1.625000,2.659818,0.785576,0.770058
196,1.633333,2.659810,0.785574,0.770048
197,1.641667,2.659822,0.785564,0.770053
198,1.650000,2.659819,0.785569,0.770047
199,1.658333,2.659819,0.785561,0.770040
200,1.666667,2.659814,0.785563,0.770042
201,1.675000,2.659830,0.785571,0.770054
202,1.683333,2.659836,0.785585,0.770053
203,1.691667,2.659832,0.785556,0.770057
204,1.700000,2.659829,0.785543,0.770056
205,1.708333,2.659831,0.785563,0.770043
206,1.716667,2.659839,0.785562,0.770042
207,1.725000,2.659840,0.785556,0.770053
208,1.733333,2.659830,0.785562,0.770057
209,1.741667,2.659840,0.785566,0.770045
210,1.750000,2.659835,0.785566,0.770060
211,1.758333,2.659843,0.785566,0.770044
212,1.766667,2.659840,0.785579,0.770058
213,1.775000,2.659834,0.785565,0.770049
214,1.783333,2.659826,0.785555,0.770049
215,1.791667,2.659832,0.785552,0.770040
216,1.800000,2.659823,0.785558,0.770061
217,1.808333,2.659819,0.785580,0.770051
218,1.816667,2.659825,0.785567,0.770043
219,1.825000,2.659808,0.785560,0.770049
220,1.833333,2.659824,0.785559,0.770052
221,1.841667,2.659818,0.785560,0.770044
222,1.850000,2.659803,0.785548,0.770047
223,1.858333,2.659811,0.785562,0.770042
