722,6.016667,2.757664,1.540238,0.018875
723,6.025000,2.754891,1.540932,0.018769
724,6.033333,2.752194,1.541663,0.018600
725,6.041667,2.749614,1.542503,0.018406
726,6.050000,2.747024,1.543354,0.018019
727,6.058333,2.744575,1.544270,0.017598
728,6.066667,2.742207,1.545405,0.017120
729,6.075000,2.739875,1.546468,0.016573
730,6.083333,2.737604,1.547528,0.016045
731,6.091667,2.735439,1.548617,0.015492
732,6.100000,2.733372,1.549681,0.014865
733,6.108333,2.731440,1.550801,0.014282
734,6.116667,2.729486,1.551897,0.013586
735,6.125000,2.727653,1.553122,0.012830
736,6.133333,2.725807,1.554412,0.011969
737,6.141667,2.723977,1.555715,0.010965
738,6.150000,2.722233,1.557039,0.009906
739,6.158333,2.720540,1.558491,0.008777
740,6.166667,2.718783,1.559888,0.007595
741,6.175000,2.717148,1.561262,0.006434
742,6.183333,2.715420,1.562711,0.005225
743,6.191667,2.713839,1.564067,0.004044
744,6.200000,2.712204,1.565365,0.002800
745,6.208333,2.710606,1.566705,0.001555
746,6.216667,2.709127,1.568012,0.000302
747,6.225000,2.707611,1.569245,-0.000969
748,6.233333,2.705205,1.570204,-0.003006
749,6.241667,2.703836,1.571391,-0.004045
750,6.250000,2.702442,1.572316,-0.005013
751,6.258333,2.700997,1.573248,-0.005988
752,6.266667,2.699523,1.574016,-0.006851
753,6.275000,2.698072,1.574827,-0.007782
754,6.283333,2.696615,1.575558,-0.008631
755,6.291667,2.695165,1.576287,-0.009543
756,6.300000,2.693634,1.577011,-0.010527
757,6.308333,2.692223,1.577679,-0.011446
758,6.316667,2.690746,1.578343,-0.012461
759,6.325000,2.689236,1.579021,-0.013479
760,6.333333,2.687769,1.579601,-0.014490
761,6.341667,2.686321,1.580210,-0.015469
762,6.350000,2.684894,1.580787,-0.016436
763,6.358333,2.683503,1.581269,-0.017403
764,6.366667,2.682278,1.581773,-0.018339
765,6.375000,2.681087,1.582240,-0.019298
766,6.383333,2.680069,1.582731,-0.020233
767,6.391667,2.679148,1.583202,-0.021205
768,6.400000,2.678255,1.583684,-0.022170
769,6.408333,2.677356,1.584158,-0.023168
770,6.416667,2.676533,1.584658,-0.024129
771,6.425000,2.675628,1.585208,-0.025160
772,6.433333,2.674816,1.585680,-0.026138
773,6.441667,2.673923,1.586099,-0.027093
774,6.450000,2.673101,1.586527,-0.028022
775,6.458333,2.672372,1.586891,-0.028882
776,6.466667,2.671758,1.587299,-0.029686
777,6.475000,2.671242,1.587629,-0.030449
778,6.483333,2.670719,1.587959,-0.031223
779,6.491667,2.670267,1.588251,-0.031934
780,6.500000,2.669810,1.588495,-0.032632
781,6.508333,2.669355,1.588786,-0.033375
782,6.516667,2.668962,1.589132,-0.034107
783,6.525000,2.668577,1.589440,-0.034795
784,6.533333,2.668251,1.589766,-0.035460
785,6.541667,2.667940,1.590143,-0.036080
786,6.550000,2.667686,1.590470,-0.036638
787,6.558333,2.667547,1.590783,-0.037100
788,6.566667,2.667380,1.591066,-0.037541
789,6.575000,2.667225,1.591366,-0.037950
790,6.583333,2.667094,1.591612,-0.038330
791,6.591667,2.666949,1.591885,-0.038668
792,6.600000,2.666820,1.592137,-0.038945
793,6.608333,2.666643,1.592394,-0.039154
794,6.616667,2.666406,1.592670,-0.039352
795,6.625000,2.666135,1.592913,-0.039466
796,6.633333,2.665847,1.593127,-0.039519
797,6.641667,2.665567,1.593385,-0.039548
798,6.650000,2.665263,1.593684,-0.039547
799,6.658333,2.664951,1.593940,-0.039476
800,6.666667,2.664652,1.594174,-0.039365
801,6.675000,2.664367,1.594379,-0.039261
802,6.683333,2.664092,1.594636,-0.039144
803,6.691667,2.663768,1.594987,-0.039095
804,6.700000,2.663458,1.595343,-0.039041
805,6.708333,2.663109,1.595726,-0.039001
806,6.716667,2.662773,1.596101,-0.038986
807,6.725000,2.662409,1.596452,-0.038921
808,6.733333,2.662068,1.596766,-0.038870
809,6.741667,2.661768,1.597104,-0.038806
810,6.750000,2.661478,1.597422,-0.038671
811,6.758333,2.661217,1.597673,-0.038485
812,6.766667,2.661010,1.597849,-0.038250
813,6.775000,2.660851,1.598047,-0.037981
814,6.783333,2.660722,1.598215,-0.037662
815,6.791667,2.660621,1.598421,-0.037339
816,6.800000,2.660498,1.598586,-0.037044
817,6.808333,2.660393,1.598795,-0.036797
818,6.816667,2.660306,1.599010,-0.036540
819,6.825000,2.660250,1.599269,-0.036321
820,6.833333,2.660179,1.599542,-0.036080
821,6.841667,2.660174,1.599830,-0.035813
822,6.850000,2.660236,1.600081,-0.035489
823,6.858333,2.660347,1.600337,-0.035061
824,6.866667,2.660495,1.600527,-0.034556
825,6.875000,2.660628,1.600627,-0.033968
826,6.883333,2.660761,1.600669,-0.033280
